date,open,high
2012-12-14,2.0846,2.0869
2012-12-17,2.0846,2.0951
2012-12-18,2.0945,2.106
2012-12-19,2.0884,2.091
2012-12-20,2.0694,2.075
2012-12-21,2.0693,2.0781
2012-12-24,2.0772,2.0888
2012-12-25,2.0752,2.0853
2012-12-26,2.0771,2.0815
2012-12-27,2.0459,2.0555
2012-12-28,2.0417,2.0475
2012-12-31,2.0456,2.0481
2013-01-01,2.0507,2.054
2013-01-02,2.0455,2.0503
2013-01-03,2.0456,2.0485
2013-01-04,2.0488,2.0488
2013-01-07,2.0329,2.0368
2013-01-08,2.0266,2.035
2013-01-09,2.0399,2.0462
2013-01-10,2.0477,2.0477
2013-01-11,2.028,2.035
2013-01-14,2.0297,2.035
2013-01-15,2.0324,2.0369
2013-01-16,,
2013-01-17,2.0394,2.0414
2013-01-18,2.0371,2.0437
2013-01-21,2.0391,2.0415
2013-01-22,2.0402,2.0484
2013-01-23,2.041,2.0503
2013-01-24,2.0339,2.039
2013-01-25,2.0285,2.0295
2013-01-28,2.0285,2.0345
2013-01-29,1.9941,1.9961
2013-01-30,1.983,1.9959
2013-01-31,1.9883,1.9908
2013-02-01,1.9906,1.9911
2013-02-04,1.9864,1.9896
2013-02-05,1.9947,1.9949
2013-02-06,1.9829,1.987
2013-02-07,1.9861,1.9905
2013-02-08,1.9651,1.9735
2013-02-11,1.9701,1.9724
2013-02-12,1.9707,1.9725
2013-02-13,1.9688,1.9695
2013-02-14,1.9641,1.9665
2013-02-15,1.9562,1.9619
2013-02-18,1.9652,1.9703
2013-02-19,1.9611,1.964
2013-02-20,1.9539,1.957
2013-02-21,1.9601,1.9767
2013-02-22,1.9718,1.9727
2013-02-25,1.9723,1.9732
2013-02-26,1.9813,1.983
2013-02-27,1.9821,1.989
2013-02-28,1.9734,1.9768
2013-03-01,1.9777,1.9849
2013-03-04,1.9805,1.9839
2013-03-05,1.9701,1.9718
2013-03-06,1.9625,1.9672
2013-03-07,1.9707,1.9709
2013-03-08,1.9595,1.96
2013-03-11,1.9448,1.9579
2013-03-12,1.9574,1.9601
2013-03-13,1.965,1.9669
2013-03-14,1.9715,1.9735
2013-03-15,1.972,1.9758
2013-03-18,1.9812,2.0071
2013-03-19,1.9828,1.9851
2013-03-20,1.9826,1.9873
2013-03-21,1.9844,1.9922
2013-03-22,2.0051,2.0131
2013-03-25,2.0065,2.016
2013-03-26,2.006,2.016
2013-03-27,2.0149,2.0238
2013-03-28,2.0102,2.015
2013-03-29,2.0192,2.0192
2013-03-31,2.015,2.0166
2013-04-01,2.0151,2.0222
2013-04-02,2.0186,2.023
2013-04-03,2.021,2.023
2013-04-04,2.0128,2.0148
2013-04-07,1.9832,1.9903
2013-04-08,1.9897,1.9902
2013-04-09,1.9806,1.9832
2013-04-10,1.9733,1.9745
2013-04-11,1.9748,1.9782
2013-04-14,1.9662,1.9788
2013-04-15,1.998,2.0003
2013-04-16,1.9846,2.0009
2013-04-17,1.9971,2.0167
2013-04-18,1.9811,2.0169
2013-04-21,2.0052,2.0152
2013-04-22,2.0159,2.0196
2013-04-23,2.0184,2.0229
2013-04-24,2.0087,2.0125
2013-04-25,1.9993,2.0125
