Date,kdjd_9
2011-08-31,45.1865256108
2011-09-01,40.9320845846
2011-09-04,42.0099910315
2011-09-05,47.1226809878
2011-09-06,54.8843504261
2011-09-07,62.0959995702
2011-09-08,66.4238436821
2011-09-11,69.8838029716
2011-09-12,73.698783201
2011-09-13,76.5411591521
2011-09-14,79.3124513659
2011-09-15,79.9952405245
2011-09-18,76.257005899
2011-09-19,76.3182958453
2011-09-20,76.0337323213
2011-09-21,74.0550340634
2011-09-22,72.9719668553
2011-09-25,71.474711429
2011-09-26,69.5245266745
2011-09-27,65.5342650513
2011-09-28,61.431337715
2011-09-29,56.6086565448
2011-10-02,53.1191842752
2011-10-03,52.7949562811
2011-10-04,51.9333686545
2011-10-05,50.1085329229
2011-10-06,47.9012357414
2011-10-09,43.506842272
2011-10-10,37.5935170118
2011-10-11,31.117682486
2011-10-12,27.4774494394
2011-10-13,24.0516199047
2011-10-16,20.4534708734
2011-10-17,20.9342862304
2011-10-18,25.1262577767
2011-10-19,29.7899948567
2011-10-20,37.937450952
2011-10-23,43.8653301305
2011-10-24,45.4477675655
2011-10-25,46.7232777584
2011-10-26,47.8517237804
2011-10-27,45.5555542361
2011-10-31,41.3029801755
2011-11-01,37.094186322
2011-11-02,38.0262201432
2011-11-03,40.7254401914
2011-11-04,44.5008894654
2011-11-07,50.2066260741
2011-11-08,57.273675499
2011-11-09,62.9206586525
2011-11-10,67.2491811011
2011-11-11,70.3006171154
2011-11-14,68.4752608497
2011-11-15,67.8142497713
2011-11-16,68.7584972884
2011-11-17,69.93512732
2011-11-18,69.9517105082
2011-11-21,68.9065620817
2011-11-22,70.5518488655
2011-11-23,70.3121757762
2011-11-24,71.5448420797
2011-11-25,72.8582665301
2011-11-28,74.2192295036
2011-11-29,73.5525412643
2011-11-30,71.0111592379
2011-12-01,64.3081296274
2011-12-02,56.8497183635
2011-12-05,49.5964809072
2011-12-06,42.0587974349
2011-12-07,36.0956540241
2011-12-08,32.5295345538
2011-12-09,34.0169771138
2011-12-12,35.4994149162
