Date,tr
2011-12-02,0.0442
2011-12-05,0.0258
2011-12-06,0.0199
2011-12-07,0.021
2011-12-08,0.0352
2011-12-09,0.0299
2011-12-12,0.0417
2011-12-13,0.0509
2011-12-14,0.0676
2011-12-15,0.0293
2011-12-16,0.0391
2011-12-19,0.0243
2011-12-20,0.0307
2011-12-21,0.0273
2011-12-22,0.0189
2011-12-23,0.0305
2011-12-26,0.0065
2011-12-27,0.0223
2011-12-28,0.0279
2011-12-29,0.0244
2011-12-30,0.0308
2012-01-02,0.0155
2012-01-03,0.0403
2012-01-04,0.057
2012-01-05,0.0258
2012-01-06,0.0354
2012-01-09,0.0206
2012-01-10,0.0564
2012-01-11,0.0458
2012-01-12,0.0214
2012-01-13,0.0384
2012-01-16,0.0069
2012-01-17,0.0264
2012-01-18,0.0184
2012-01-19,0.0231
2012-01-20,0.0096
2012-01-23,0.0221
2012-01-24,0.0125
2012-01-25,0.0187
2012-01-26,0.0289
2012-01-27,0.027
2012-01-30,0.1184
2012-01-31,0.0185
2012-02-01,0.0206
2012-02-02,0.024
2012-02-03,0.0264
2012-02-06,0.0208
2012-02-07,0.0141
2012-02-08,0.0143
2012-02-09,0.0181
2012-02-10,0.0166
2012-02-13,0.0175
2012-02-14,0.0102
2012-02-15,0.0129
2012-02-16,0.0194
2012-02-17,0.0224
2012-02-20,0.0055
2012-02-21,0.0164
2012-02-22,0.0093
2012-02-23,0.0222
2012-02-24,0.0127
2012-02-27,0.0152
2012-02-28,0.0167
2012-02-29,0.0356
2012-03-01,0.0272
2012-03-02,0.0188
2012-03-05,0.028
2012-03-06,0.0299
2012-03-07,0.0582
2012-03-08,0.0262
2012-03-09,0.0217
2012-03-12,0.0562
2012-03-13,0.0324
2012-03-14,0.0331
2012-03-15,0.02
2012-03-16,0.023
2012-03-19,0.0138
2012-03-20,0.0331
2012-03-21,0.0302
2012-03-22,0.0159
2012-03-23,0.0197
2012-03-25,0.0303
2012-03-26,0.0174
2012-03-27,0.0196
2012-03-28,0.0269
2012-03-29,0.0238
2012-04-01,0.0122
2012-04-02,0.0184
2012-04-03,0.0346
2012-04-04,0.0227
2012-04-05,0.0062
2012-04-08,0.0089
2012-04-09,0.0377
2012-04-10,0.0217
2012-04-11,0.0214
2012-04-12,0.0296
2012-04-15,0.0316
2012-04-16,0.0211
2012-04-17,0.0283
2012-04-18,0.0299
2012-04-19,0.0255
2012-04-22,0.0371
2012-04-23,0.0289
2012-04-24,0.0166
2012-04-25,0.0251
2012-04-26,0.0206
2012-04-29,0.0264
2012-04-30,0.0219
2012-05-01,0.0249
2012-05-02,0.0286
2012-05-03,0.0364
2012-05-06,0.0236
2012-05-07,0.0384
2012-05-08,0.0537
2012-05-09,0.0358
2012-05-10,0.0361
2012-05-13,0.0417
2012-05-14,0.0335
2012-05-15,0.0227
2012-05-16,0.0231
2012-05-17,0.0314
2012-05-20,0.0411
2012-05-21,0.0376
2012-05-22,0.0694
2012-05-23,0.0757
2012-05-24,0.0479
2012-05-27,0.0633
2012-05-28,0.0358
2012-05-29,0.0281
2012-05-30,0.0344
2012-05-31,0.0364
2012-06-03,0.022
2012-06-04,0.0431
2012-06-05,0.0476
2012-06-06,0.0107
2012-06-07,0.0274
2012-06-10,0.036
2012-06-11,0.0418
2012-06-12,0.0205
2012-06-13,0.0223
2012-06-14,0.0365
2012-06-17,0.0352
2012-06-18,0.0303
2012-06-19,0.0528
2012-06-20,0.0378
2012-06-21,0.0399
2012-06-24,0.0289
2012-06-25,0.0345
2012-06-26,0.0249
2012-06-27,0.0338
2012-06-28,0.0712
2012-07-01,0.0958
2012-07-02,0.0331
2012-07-03,0.0458
2012-07-04,0.0291
2012-07-05,0.0395
2012-07-08,0.0312
2012-07-09,0.0227
2012-07-10,0.0212
2012-07-11,0.0338
2012-07-12,0.0218
2012-07-15,0.0094
2012-07-16,0.0121
2012-07-17,0.0178
2012-07-18,0.0221
2012-07-19,0.0317
2012-07-22,0.0394
2012-07-23,0.0191
2012-07-24,0.0144
2012-07-25,0.0283
2012-07-26,0.0207
2012-07-29,0.0346
2012-07-30,0.0302
2012-07-31,0.0226
2012-08-01,0.0328
2012-08-02,0.0295
2012-08-05,0.0398
2012-08-06,0.0202
2012-08-07,0.0247
2012-08-08,0.0156
2012-08-09,0.0097
2012-08-12,0.0313
2012-08-13,0.0245
2012-08-14,0.0223
2012-08-15,0.024
2012-08-16,0.0256
2012-08-19,0.0244
2012-08-20,0.0233
2012-08-21,0.0241
2012-08-22,0.0134
2012-08-23,0.0237
2012-08-26,0.0231
2012-08-27,0.0317
2012-08-28,0.0256
2012-08-29,0.0223
2012-08-30,0.0284
2012-09-02,0.0349
2012-09-03,0.0271
2012-09-04,0.0173
2012-09-05,0.0192
2012-09-06,0.0283
2012-09-09,0.0344
2012-09-10,0.0221
2012-09-11,0.0219
2012-09-12,0.0183
2012-09-13,0.0232
2012-09-16,0.0371
2012-09-17,0.0219
2012-09-18,0.0257
2012-09-19,0.0202
2012-09-20,0.0075
2012-09-23,0.023
2012-09-24,0.0172
2012-09-25,0.0228
2012-09-26,0.0181
2012-09-27,0.0113
2012-09-30,0.0195
2012-10-01,0.0168
2012-10-02,0.0179
2012-10-03,0.0197
2012-10-04,0.0239
2012-10-07,0.0185
2012-10-08,0.0369
2012-10-09,0.0195
2012-10-10,0.0171
2012-10-11,0.0172
2012-10-14,0.0178
2012-10-15,0.0238
2012-10-16,0.0208
2012-10-17,0.0191
2012-10-18,0.0214
2012-10-21,0.0181
2012-10-22,0.0234
2012-10-23,0.0183
2012-10-24,0.0197
2012-10-25,0.0224
2012-10-29,0.0323
2012-10-30,0.0077
2012-10-31,0.0241
2012-11-01,0.0059
2012-11-02,0.0061
2012-11-05,0.0267
2012-11-06,0.0214
2012-11-07,0.0227
2012-11-08,0.0092
2012-11-09,0.0287
2012-11-12,0.0247
2012-11-13,0.0188
2012-11-14,0.0269
2012-11-15,0.0222
2012-11-16,0.0252
2012-11-19,0.039
2012-11-20,0.0197
2012-11-21,0.0232
2012-11-22,0.0271
