Date,cci
2011-02-22,54.3564016808
2011-02-23,55.7407407408
2011-02-24,101.003220213
2011-02-25,172.248665801
2011-02-28,95.6284153006
2011-03-01,88.7770233357
2011-03-02,75.8468677494
2011-03-03,15.4672229304
2011-03-04,-97.5617738504
2011-03-07,-66.0356523111
2011-03-08,-11.6282714308
2011-03-09,-47.4873213462
2011-03-10,25.5839133798
2011-03-11,83.0409356725
2011-03-14,79.8424633011
2011-03-15,128.711897738
2011-03-16,70.6680675948
2011-03-17,163.668044412
2011-03-18,159.841369234
2011-03-21,38.0120522717
2011-03-22,40.6492912666
2011-03-23,-1.48728665968
2011-03-24,-29.3016646366
2011-03-25,-62.8138323069
2011-03-27,-85.7795172863
2011-03-28,-40.659106639
2011-03-29,-236.603773585
2011-03-30,-277.676110036
2011-03-31,-220.167145365
2011-04-03,-173.466275833
2011-04-04,-141.330045689
2011-04-05,-120.665160889
2011-04-06,-96.8218865182
2011-04-07,-136.845586533
2011-04-10,-141.91456543
2011-04-11,-104.843404668
2011-04-12,-76.3416888177
2011-04-13,-71.3052486188
2011-04-14,
2011-04-17,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,
2011-04-24,
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-05-01,
2011-05-02,
2011-05-03,
2011-05-04,231.675682722
2011-05-05,180.749422838
2011-05-08,121.850162866
2011-05-09,104.952602051
2011-05-10,79.6470631668
2011-05-11,105.728207018
2011-05-12,94.2907496209
2011-05-15,111.099839082
2011-05-16,102.553026104
2011-05-17,53.0443893513
2011-05-18,7.58157128474
2011-05-19,19.1991786448
2011-05-22,59.2033580424
2011-05-23,108.176974751
2011-05-24,64.0522875817
2011-05-25,40.363685527
2011-05-26,-95.6729769087
2011-05-29,-213.506978323
2011-05-30,-199.816149011
2011-05-31,-185.127494795
2011-06-01,-111.788337397
2011-06-02,-152.41484232
2011-06-05,-104.611615507
2011-06-06,-102.027345592
2011-06-07,-58.7528307097
2011-06-08,-46.1191081005
2011-06-09,-19.4635533367
2011-06-12,5.22891983478
2011-06-13,-9.42913089319
2011-06-14,-5.65243535777
2011-06-15,170.307390451
2011-06-16,133.292079208
2011-06-19,90.625
2011-06-20,49.7060943825
2011-06-21,6.29623402827
2011-06-22,16.6839259004
2011-06-23,36.414997432
2011-06-26,61.3236187007
2011-06-27,-32.0068906115
2011-06-28,-212.637362637
2011-06-29,-232.281870428
