Date,macd
2010-08-24,-0.3960833633574939
2010-08-25,-0.34508403052156533
2010-08-26,-0.32725973936590713
2010-08-29,-0.46723073570224516
2010-08-30,-0.42289155325276984
2010-08-31,-0.3993590276733391
2010-09-01,-0.4065059219999686
2010-09-02,-0.41155922033194103
2010-09-05,-0.5912863094336972
2010-09-06,-0.5899769553147797
2010-09-07,-0.5711190505084708
2010-09-08,-0.5818704175077355
2010-09-09,-0.5755389278926631
2010-09-12,-0.7165295303750512
2010-09-13,-0.6899559424882585
2010-09-14,-0.7047043279827464
2010-09-15,-0.6575040231516933
2010-09-16,-0.6258001488669399
2010-09-19,-0.7376564466535664
2010-09-20,-0.6540983920072968
2010-09-21,-0.5893351126513157
2010-09-22,-0.6708215977109206
2010-09-23,-0.6119872205168525
