Date,adx
2012-05-08,33.4511365419
2012-05-09,39.5085985271
2012-05-10,34.9470067492
2012-05-13,37.8580729165
2012-05-14,41.6536354739
2012-05-15,45.3807406824
2012-05-16,47.3577730214
2012-05-17,51.6149721759
2012-05-20,57.1922443938
2012-05-21,62.3846848471
2012-05-22,68.4588051046
2012-05-23,56.4170665174
2012-05-24,42.5994173576
2012-05-27,32.6198294665
2012-05-28,23.841542651
2012-05-29,19.0260752808
2012-05-30,18.6848216053
2012-05-31,20.5608287936
2012-06-03,22.5256104728
2012-06-04,26.6854679462
2012-06-05,26.3681699559
2012-06-06,26.249405512
2012-06-07,20.338501969
2012-06-10,16.2516266609
2012-06-11,16.9586877008
2012-06-12,18.3591620603
2012-06-13,20.9007857838
2012-06-14,16.2956531447
2012-06-17,11.6422203351
2012-06-18,8.31833975678
2012-06-19,13.3573790205
2012-06-20,13.5398358677
2012-06-21,11.8970639942
2012-06-24,14.3604891203
2012-06-25,13.9091542602
2012-06-26,14.92808439
2012-06-27,19.0393918414
2012-06-28,20.7355624009
2012-07-01,26.1863146085
2012-07-02,30.8635804316
2012-07-03,25.1853722822
2012-07-04,19.7748375916
2012-07-05,17.5847987519
2012-07-08,16.020485295
2012-07-09,14.9031185401
2012-07-10,14.1049994295
2012-07-11,12.8668617266
2012-07-12,11.9824776531
2012-07-15,11.3507747434
2012-07-16,8.40375441879
2012-07-17,10.6894840713
2012-07-18,17.3666944103
2012-07-19,25.2002256664
2012-07-22,20.6731635707
2012-07-23,17.4395477881
2012-07-24,12.4825224397
2012-07-25,15.4153666786
2012-07-26,19.2810000828
2012-07-29,25.1359996318
2012-07-30,21.2244760023
2012-07-31,15.7666765067
2012-08-01,16.0217464834
2012-08-02,17.8968192592
2012-08-05,22.7804308362
2012-08-06,24.6104715885
2012-08-07,26.8036003709
2012-08-08,28.3701209298
2012-08-09,29.5359452527
2012-08-12,36.3340139905
2012-08-13,41.1897773746
2012-08-14,41.9123382544
2012-08-15,44.2173395791
2012-08-16,47.2613879759
2012-08-19,50.2600257434
2012-08-20,51.8309898864
2012-08-21,53.1798919021
2012-08-22,48.4820844035
2012-08-23,48.8889026965
2012-08-26,49.5515122503
2012-08-27,40.0937606665
2012-08-28,35.0343483057
2012-08-29,33.2657898398
2012-08-30,24.4889907513
2012-09-02,23.9565356163
2012-09-03,17.307364449
2012-09-04,12.4906251623
2012-09-05,11.5064585583
2012-09-06,17.3383787866
2012-09-09,26.8970187926
2012-09-10,33.7246187969
2012-09-11,40.2463749523
2012-09-12,39.4179098698
2012-09-13,41.2443110825
2012-09-16,33.8730975551
2012-09-17,27.9604266151
2012-09-18,28.9222173684
2012-09-19,27.7263673105
2012-09-20,26.8721886977
2012-09-23,32.0235616323
2012-09-24,35.7031137285
2012-09-25,29.054989744
2012-09-26,24.3063297551
2012-09-27,20.914429763
2012-09-30,26.6733218277
2012-10-01,30.7868161596
2012-10-02,34.1226628496
2012-10-03,37.8899892578
2012-10-04,42.307883374
2012-10-07,39.0077731722
2012-10-08,32.03180675
2012-10-09,31.7943315802
2012-10-10,28.6882539512
2012-10-11,25.264092962
2012-10-14,21.652294414
2012-10-15,24.5705261593
2012-10-16,29.0027100836
2012-10-17,32.4443027842
