"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2017","3,147.13","3,145.00","3,151.00","3,130.00","620.87K","0.35"
"Sep 20, 2017","3,136.26","3,132.50","3,144.50","3,119.00","833.95K","-0.11"
"Sep 19, 2017","3,139.65","3,137.00","3,145.50","3,131.00","505.88K","0.03"
"Sep 18, 2017","3,138.75","3,117.50","3,145.00","3,115.50","536.99K","0.47"
"Sep 15, 2017","3,124.12","3,135.50","3,138.50","3,117.00","591.34K","-0.14"
"Sep 14, 2017","3,128.56","3,147.00","3,156.00","3,119.00","779.89K","-0.41"
"Sep 13, 2017","3,141.39","3,132.50","3,149.00","3,128.50","642.62K","0.02"
"Sep 12, 2017","3,140.62","3,113.00","3,143.50","3,111.00","761.55K","1.11"
"Sep 11, 2017","3,106.09","3,099.50","3,115.50","3,086.50","560.35K","0.26"
"Sep 08, 2017","3,098.17","3,096.00","3,108.00","3,090.50","508.30K","-0.45"
"Sep 06, 2017","3,112.15","3,122.50","3,128.50","3,107.50","614.22K","-0.57"
"Sep 05, 2017","3,129.88","3,129.00","3,138.00","3,122.50","682.65K","-0.52"
"Sep 04, 2017","3,146.13","3,155.00","3,156.50","3,144.00","260.84K","-0.24"
"Sep 01, 2017","3,153.64","3,155.00","3,159.00","3,134.50","675.28K","0.21"
"Aug 31, 2017","3,147.10","3,168.50","3,170.00","3,143.00","43.15K","-0.47"
"Aug 30, 2017","3,161.81","3,169.00","3,175.50","3,157.00","599.61K","-0.10"
"Aug 29, 2017","3,165.13","3,163.50","3,178.00","3,160.50","620.93K","0.16"
"Aug 28, 2017","3,159.95","3,157.50","3,170.50","3,151.50","474.25K","0.09"
"Aug 25, 2017","3,157.25","3,144.00","3,166.00","3,139.50","744.13K","0.31"
"Aug 24, 2017","3,147.43","3,146.50","3,154.00","3,137.00","628.71K","0.12"
"Aug 23, 2017","3,143.61","3,172.00","3,176.00","3,139.00","606.90K","-0.81"
"Aug 22, 2017","3,169.39","3,163.00","3,197.50","3,152.50","744.28K","-0.13"
"Aug 21, 2017","3,173.49","3,156.00","3,180.00","3,144.00","677.37K","0.60"
"Aug 18, 2017","3,154.50","3,179.00","3,183.50","3,151.00","695.07K","-0.91"
"Aug 17, 2017","3,183.39","3,168.50","3,191.50","3,166.00","684.05K","0.61"
"Aug 16, 2017","3,164.05","3,177.00","3,188.00","3,155.00","682.25K","-1.14"
"Aug 15, 2017","3,200.45","3,205.50","3,217.50","3,176.00","694.92K","0.11"
"Aug 14, 2017","3,196.82","3,189.00","3,218.50","3,184.00","793.28K","0.60"
"Aug 11, 2017","3,177.86","3,185.00","3,247.00","3,168.00","872.77K","0.02"
"Aug 10, 2017","3,177.16","3,174.00","3,192.00","3,160.50","772.00K","0.43"
"Aug 09, 2017","3,163.58","3,152.50","3,172.00","3,148.50","709.51K","0.86"
"Aug 08, 2017","3,136.51","3,138.50","3,151.50","3,134.50","582.22K","-0.02"
"Aug 07, 2017","3,137.06","3,146.50","3,149.50","3,135.50","473.52K","-0.14"
"Aug 04, 2017","3,141.36","3,126.50","3,150.00","3,125.00","728.88K","0.14"
"Aug 03, 2017","3,136.92","3,135.00","3,144.50","3,128.00","602.60K","0.07"
"Aug 02, 2017","3,134.86","3,150.00","3,156.00","3,131.00","707.79K","-0.07"
"Aug 01, 2017","3,137.05","3,143.00","3,149.50","3,126.50","657.50K","0.20"
"Jul 31, 2017","3,130.70","3,139.50","3,144.50","3,127.00","40.88K","-0.29"
"Jul 28, 2017","3,139.93","3,160.00","3,161.00","3,130.00","575.62K","-0.56"
"Jul 27, 2017","3,157.60","3,144.50","3,161.00","3,143.50","725.34K","0.23"
"Jul 26, 2017","3,150.32","3,166.50","3,179.00","3,137.00","740.54K","-0.61"
"Jul 25, 2017","3,169.68","3,146.50","3,175.50","3,141.50","805.02K","0.61"
"Jul 24, 2017","3,150.56","3,147.00","3,156.50","3,138.50","519.38K","0.21"
"Jul 21, 2017","3,144.02","3,124.00","3,151.00","3,117.00","632.56K","0.22"
"Jul 20, 2017","3,137.17","3,158.50","3,162.50","3,125.00","649.49K","-0.58"
"Jul 19, 2017","3,155.63","3,167.50","3,171.00","3,151.50","561.28K","-0.36"
"Jul 18, 2017","3,167.05","3,182.50","3,184.50","3,162.00","585.14K","-0.72"
"Jul 17, 2017","3,190.16","3,192.50","3,196.00","3,185.50","425.26K","-0.06"
"Jul 14, 2017","3,192.02","3,216.00","3,221.50","3,189.00","589.26K","-0.91"
"Jul 13, 2017","3,221.22","3,224.00","3,233.50","3,213.50","524.31K","-0.14"
"Jul 12, 2017","3,225.63","3,254.00","3,254.50","3,217.50","818.22K","-1.24"
"Jul 11, 2017","3,266.26","3,278.50","3,284.00","3,261.00","598.87K","-0.36"
"Jul 10, 2017","3,278.08","3,296.50","3,296.50","3,269.50","440.64K","-0.56"
"Jul 07, 2017","3,296.64","3,307.50","3,323.50","3,287.00","740.51K","-0.65"
"Jul 06, 2017","3,318.13","3,318.00","3,339.00","3,314.00","733.58K","0.10"
"Jul 05, 2017","3,314.69","3,333.00","3,349.00","3,307.00","764.10K","-0.40"
"Jul 04, 2017","3,328.08","3,322.00","3,330.00","3,318.00","293.18K","0.33"
"Jul 03, 2017","3,317.23","3,337.00","3,342.50","3,312.50","510.27K","0.27"
"Jun 30, 2017","3,308.20","3,299.00","3,311.00","3,286.50","42.61K","0.10"
"Jun 29, 2017","3,304.89","3,275.50","3,316.50","3,272.50","782.91K","0.43"
"Jun 28, 2017","3,290.67","3,316.00","3,317.00","3,281.00","710.61K","-1.16"
"Jun 27, 2017","3,329.34","3,311.00","3,338.00","3,301.50","803.55K","0.74"
"Jun 26, 2017","3,304.80","3,340.00","3,340.00","3,299.50","522.96K","-1.19"
"Jun 23, 2017","3,344.67","3,348.00","3,350.00","3,332.00","496.63K","0.23"
"Jun 22, 2017","3,336.88","3,333.00","3,356.00","3,329.00","634.27K","0.01"
"Jun 21, 2017","3,336.63","3,330.00","3,345.00","3,322.50","595.58K","-0.10"
"Jun 20, 2017","3,339.92","3,305.00","3,352.00","3,304.00","722.65K","1.24"
"Jun 19, 2017","3,299.10","3,303.50","3,325.00","3,292.00","523.36K","0.07"
"Jun 16, 2017","3,296.70","3,300.00","3,308.50","3,291.00","475.18K","0.00"
"Jun 15, 2017","3,296.70","3,296.70","3,296.70","3,296.70","0","0.07"
"Jun 14, 2017","3,294.50","3,322.00","3,326.50","3,277.00","753.62K","-0.82"
"Jun 13, 2017","3,321.81","3,325.00","3,347.50","3,314.00","675.28K","-0.29"
"Jun 12, 2017","3,331.48","3,303.00","3,342.00","3,291.50","551.24K","0.92"
"Jun 09, 2017","3,301.23","3,280.00","3,314.50","3,272.00","531.94K","0.50"
"Jun 08, 2017","3,284.76","3,293.00","3,306.00","3,277.00","462.12K","-0.29"
"Jun 07, 2017","3,294.16","3,300.50","3,304.50","3,283.00","509.30K","0.01"
"Jun 06, 2017","3,293.94","3,320.00","3,321.50","3,292.00","560.95K","-0.56"
"Jun 05, 2017","3,312.50","3,273.00","3,319.00","3,268.50","576.98K","1.22"
"Jun 02, 2017","3,272.72","3,270.50","3,280.00","3,242.00","580.73K","0.02"
"Jun 01, 2017","3,272.01","3,254.00","3,277.00","3,237.50","617.03K","0.87"
"May 31, 2017","3,243.70","3,258.00","3,258.00","3,237.00","43.55K","-0.55"
"May 30, 2017","3,261.55","3,271.50","3,273.50","3,256.50","471.24K","-0.33"
"May 29, 2017","3,272.23","3,264.50","3,279.00","3,258.50","203.43K","0.37"
"May 26, 2017","3,260.07","3,274.00","3,279.00","3,255.50","520.99K","-1.00"
"May 25, 2017","3,292.90","3,285.00","3,302.00","3,267.00","512.35K","0.59"
"May 24, 2017","3,273.48","3,280.00","3,294.00","3,255.00","731.92K","0.00"
"May 23, 2017","3,273.46","3,282.50","3,295.00","3,264.00","550.43K","-0.53"
"May 22, 2017","3,290.99","3,284.00","3,328.50","3,269.00","625.00K","0.65"
"May 19, 2017","3,269.74","3,309.00","3,355.00","3,252.50","734.32K","-2.28"
"May 18, 2017","3,345.96","3,323.50","3,417.50","3,323.50","442.91K","6.71"
"May 17, 2017","3,135.43","3,112.50","3,151.50","3,107.00","693.26K","0.84"
"May 16, 2017","3,109.34","3,113.00","3,119.00","3,100.00","501.70K","-0.19"
"May 15, 2017","3,115.17","3,120.50","3,125.50","3,109.00","464.02K","-0.71"
"May 12, 2017","3,137.36","3,164.50","3,165.00","3,131.00","502.46K","-0.94"
"May 11, 2017","3,167.13","3,177.50","3,184.50","3,154.50","507.80K","-0.34"
"May 10, 2017","3,178.06","3,193.50","3,193.50","3,169.50","468.83K","-0.81"
"May 09, 2017","3,204.15","3,215.50","3,218.50","3,197.50","428.09K","-0.37"
"May 08, 2017","3,215.99","3,208.00","3,225.50","3,202.50","365.56K","0.60"
"May 05, 2017","3,196.85","3,209.50","3,217.00","3,189.50","542.15K","-0.36"
"May 04, 2017","3,208.51","3,196.00","3,217.00","3,192.00","587.03K","1.14"
"May 03, 2017","3,172.27","3,184.50","3,190.50","3,163.50","594.61K","-0.05"
"May 02, 2017","3,173.82","3,193.00","3,219.50","3,170.50","550.30K","-0.77"
"Apr 28, 2017","3,198.40","3,184.50","3,208.50","3,173.00","45.54K","0.65"
"Apr 27, 2017","3,177.85","3,161.00","3,190.00","3,157.00","488.62K","-0.22"
"Apr 26, 2017","3,184.90","3,164.50","3,209.50","3,160.50","705.22K","0.89"
"Apr 25, 2017","3,156.96","3,144.00","3,172.50","3,142.50","575.75K","0.70"
"Apr 24, 2017","3,135.04","3,127.50","3,139.50","3,123.00","376.66K","-0.83"
"Apr 20, 2017","3,161.30","3,146.50","3,176.00","3,139.00","573.56K","0.49"
"Apr 19, 2017","3,145.91","3,121.50","3,161.50","3,116.50","568.39K","0.88"
"Apr 18, 2017","3,118.34","3,117.50","3,131.00","3,095.50","535.51K","0.26"
"Apr 17, 2017","3,110.26","3,116.00","3,123.00","3,102.50","395.08K","-1.35"
"Apr 13, 2017","3,152.91","3,146.50","3,159.50","3,126.50","482.72K","-0.44"
"Apr 12, 2017","3,166.72","3,159.00","3,169.50","3,132.00","589.20K","0.67"
"Apr 11, 2017","3,145.66","3,145.50","3,167.50","3,137.50","590.01K","-0.13"
"Apr 10, 2017","3,149.83","3,163.00","3,164.00","3,143.50","409.29K","-0.51"
"Apr 07, 2017","3,166.06","3,158.00","3,174.00","3,133.50","581.15K","0.35"
"Apr 06, 2017","3,154.87","3,137.00","3,167.00","3,124.00","585.47K","1.52"
"Apr 05, 2017","3,107.75","3,104.00","3,141.50","3,098.00","594.31K","-0.30"
"Apr 04, 2017","3,117.01","3,152.50","3,155.00","3,110.00","469.82K","-0.49"
"Apr 03, 2017","3,132.21","3,152.00","3,153.50","3,129.00","381.03K","-1.14"
"Mar 31, 2017","3,168.40","3,155.00","3,174.50","3,149.50","43.85K","1.00"
"Mar 30, 2017","3,137.12","3,123.50","3,155.00","3,120.50","555.03K","0.43"
"Mar 29, 2017","3,123.65","3,137.00","3,140.50","3,115.00","439.51K","-0.54"
"Mar 28, 2017","3,140.56","3,135.00","3,148.50","3,126.00","501.14K","-0.00"
"Mar 27, 2017","3,140.61","3,121.50","3,144.50","3,117.00","556.05K","0.78"
"Mar 24, 2017","3,116.16","3,144.00","3,157.00","3,110.50","597.18K","-0.61"
"Mar 23, 2017","3,135.24","3,104.50","3,153.00","3,101.00","603.01K","1.13"
"Mar 22, 2017","3,100.18","3,112.00","3,118.50","3,091.00","596.98K","0.14"
"Mar 21, 2017","3,096.00","3,081.50","3,104.50","3,070.50","620.34K","0.33"
"Mar 20, 2017","3,085.91","3,108.50","3,127.00","3,078.50","464.94K","-0.90"
"Mar 17, 2017","3,113.98","3,120.50","3,139.50","3,099.00","438.06K","-0.39"
"Mar 16, 2017","3,126.29","3,133.50","3,136.50","3,106.00","532.50K","0.01"
"Mar 15, 2017","3,125.84","3,181.00","3,193.00","3,113.00","691.28K","-2.24"
"Mar 14, 2017","3,197.46","3,179.00","3,199.00","3,174.50","497.17K","0.91"
"Mar 13, 2017","3,168.69","3,151.00","3,178.00","3,148.00","456.00K","0.14"
