Date,kdjk_9
2011-06-27,45.2553722706
2011-06-28,41.4171919457
2011-06-29,37.5784579968
2011-06-30,32.9768336331
2011-07-03,21.9845557554
2011-07-04,16.9977136952
2011-07-05,21.1900962528
2011-07-06,27.3738041562
2011-07-07,23.4007179223
2011-07-10,30.9356484955
2011-07-11,52.1504142635
2011-07-12,61.5058768983
2011-07-13,61.4194554209
2011-07-14,69.3112539301
2011-07-17,66.6174847948
2011-07-18,71.0604978846
2011-07-19,65.1098506396
2011-07-20,58.0233228863
2011-07-21,43.0049818281
2011-07-24,41.4573442073
2011-07-25,38.6329938694
2011-07-26,30.7000645575
2011-07-27,42.5144118574
2011-07-28,55.2385063313
2011-07-31,52.4300664919
2011-08-01,58.272404843
2011-08-02,66.1014887794
2011-08-03,66.8524693129
2011-08-04,69.1397414467
2011-08-07,74.4811780829
2011-08-08,65.7706813148
2011-08-09,69.2708496901
2011-08-10,69.7309678874
2011-08-11,70.2052606429
2011-08-14,66.8889771807
2011-08-15,57.7489396101
2011-08-16,44.172219521
2011-08-17,32.0648935293
2011-08-18,35.4201792213
2011-08-21,35.4596066604
2011-08-22,39.178199312
2011-08-23,41.8752339419
2011-08-24,55.1261249535
2011-08-25,65.2778817519
2011-08-28,64.4639831076
2011-08-29,55.3253863288
2011-08-30,43.4943916307
2011-08-31,31.8826670462
2011-09-01,32.4232025322
2011-09-04,44.1658039253
2011-09-05,57.3480609003
2011-09-06,70.4076893028
2011-09-07,76.5192978585
2011-09-08,75.0795319057
2011-09-11,76.8037215506
2011-09-12,81.32874366
2011-09-13,82.2259110541
2011-09-14,84.8550357937
2011-09-15,81.3608188416
2011-09-18,68.780536648
2011-09-19,76.4408757381
2011-09-20,75.4646052731
2011-09-21,70.0976375477
2011-09-22,70.8058324392
2011-09-25,68.4802005763
2011-09-26,65.6241571654
2011-09-27,57.553741805
2011-09-28,53.2254830424
2011-09-29,46.9632942044
2011-10-02,46.1402397361
2011-10-03,52.1465002929
2011-10-04,50.2101934012
2011-10-05,46.4588614598
2011-10-06,43.4866413783
2011-10-09,34.7180553331
2011-10-10,25.7668664915
2011-10-11,18.1660134343
2011-10-12,20.1969833462
2011-10-13,17.1999608353
2011-10-16,13.257172811
2011-10-17,21.8959169444
2011-10-18,33.5102008692
2011-10-19,39.1174690168
2011-10-20,54.2323631427
2011-10-23,55.7210884873
2011-10-24,48.6126424356
2011-10-25,49.2742981443
2011-10-26,50.1086158245
2011-10-27,40.9632151473
2011-10-31,32.7978320543
2011-11-01,28.6765986151
2011-11-02,39.8902877855
2011-11-03,46.1238802877
2011-11-04,52.0517880134
2011-11-07,61.6180992916
2011-11-08,71.4077743489
2011-11-09,74.2146249594
2011-11-10,75.9062259983
2011-11-11,76.403489144
2011-11-14,64.8245483183
2011-11-15,66.4922276145
2011-11-16,70.6469923227
2011-11-17,72.2883873833
2011-11-18,69.9848768847
2011-11-21,66.8162652285
2011-11-22,73.842422433
2011-11-23,69.8328295976
2011-11-24,74.0101746867
2011-11-25,75.4851154309
2011-11-28,76.9411554507
2011-11-29,72.2191647857
2011-11-30,65.928395185
2011-12-01,50.9020704065
2011-12-02,41.9328958356
2011-12-05,35.0900059945
2011-12-06,26.9834304903
2011-12-07,24.1693672026
2011-12-08,25.3972956131
2011-12-09,36.9918622338
2011-12-12,38.4642905209
2011-12-13,43.5733500787
2011-12-14,56.7480150967
2011-12-15,70.1923364926
2011-12-16,73.5320027466
2011-12-19,73.5193271323
2011-12-20,78.0289490119
2011-12-21,70.9960080087
2011-12-22,71.3769147804
2011-12-23,62.0975323188
2011-12-26,60.5501110091
2011-12-27,59.1871515408
2011-12-28,59.7736828813
2011-12-29,68.5411050432
2011-12-30,67.4541664724
2012-01-02,64.9814997701
2012-01-03,68.0346827882
