Date,cr
2012-05-01,133.613341569
2012-05-02,147.72580853
2012-05-03,132.2185194
2012-05-06,148.182049326
2012-05-07,137.526451916
2012-05-08,160.318822808
2012-05-09,178.548770817
2012-05-10,168.467447425
2012-05-13,179.765029371
2012-05-14,191.057013118
2012-05-15,208.958077291
2012-05-16,193.690075149
2012-05-17,206.226666667
2012-05-20,234.798219158
2012-05-21,243.852459016
2012-05-22,271.533503223
2012-05-23,195.694050992
2012-05-24,164.189189189
2012-05-27,143.602274747
2012-05-28,147.031221801
2012-05-29,154.439078752
2012-05-30,162.033195021
2012-05-31,169.344953074
2012-06-03,176.092922956
2012-06-04,175.389048991
2012-06-05,151.985747806
2012-06-06,158.673653777
2012-06-07,145.667326392
2012-06-10,148.623453563
2012-06-11,153.650461753
2012-06-12,156.595133339
2012-06-13,142.77441432
2012-06-14,125.585731658
2012-06-17,130.782565627
2012-06-18,119.864649682
2012-06-19,101.673278038
2012-06-20,100.486841177
2012-06-21,110.098289043
2012-06-24,106.796953585
2012-06-25,97.5124378109
2012-06-26,94.0751445087
2012-06-27,83.1733673401
2012-06-28,84.6299681766
2012-07-01,78.2705523034
2012-07-02,82.9453713671
2012-07-03,91.2858438568
2012-07-04,89.6919349256
2012-07-05,82.9348831066
2012-07-08,82.0368779327
2012-07-09,78.3449792961
2012-07-10,76.2032610831
2012-07-11,84.9744862778
2012-07-12,83.4789085246
2012-07-15,84.7641575066
2012-07-16,85.546061607
2012-07-17,73.6739794502
2012-07-18,70.6659403514
2012-07-19,67.6322751323
2012-07-22,77.3749043079
2012-07-23,83.0076838639
2012-07-24,84.6101745936
2012-07-25,88.374469423
2012-07-26,83.7961502051
2012-07-29,75.6320968963
2012-07-30,80.4745657568
2012-07-31,85.5777795773
2012-08-01,76.7382767383
2012-08-02,72.8959927278
2012-08-05,78.7813560725
2012-08-06,96.1293483586
2012-08-07,101.613879363
2012-08-08,86.0415245151
2012-08-09,77.9244555791
2012-08-12,76.8491555038
2012-08-13,75.2894250413
2012-08-14,76.9109844763
2012-08-15,74.1402627512
2012-08-16,67.4042553191
2012-08-19,64.9749489701
2012-08-20,65.3311529027
2012-08-21,67.1741284569
2012-08-22,74.3787650602
2012-08-23,78.802464382
2012-08-26,80.9345055813
2012-08-27,80.1474250423
2012-08-28,78.3720476283
2012-08-29,78.9733178654
2012-08-30,80.7647515528
2012-09-02,78.0528981429
2012-09-03,79.8906789413
2012-09-04,73.737565135
2012-09-05,67.8725950474
