Date,macds
2014-03-24,0.005955910172200495
2014-03-25,0.0063964554137471465
2014-03-26,0.00683154290095456
2014-03-27,0.007226474405141972
2014-03-28,0.007543268486350574
2014-03-30,0.0077953484395287915
2014-03-31,0.007993977515052384
2014-04-01,0.008042244339619626
2014-04-02,0.00799191971047136
2014-04-03,0.007846050686994132
2014-04-06,0.007651040303773335
2014-04-07,0.0073707884950957574
2014-04-08,0.007112810443919892
2014-04-09,0.0068401952828775325
2014-04-10,0.006670829690400015
2014-04-13,0.006602403608559335
2014-04-14,0.006619861883867128
2014-04-15,0.006579580662878409
2014-04-16,0.006580734258843149
2014-04-17,0.006514686276907391
2014-04-20,0.006420116319780711
2014-04-21,0.006301488127934079
2014-04-22,0.00622895895770919
2014-04-23,0.006037226238546319
2014-04-24,0.005721200984555546
2014-04-27,0.005356070164250339
2014-04-28,0.004917140843583445
2014-04-29,0.00437389390680785
2014-04-30,0.0038180736166626727
2014-05-01,0.0032602410664151166
2014-05-04,0.0027402376581872026
2014-05-05,0.002250663548617824
2014-05-06,0.0018173369560914026
2014-05-07,0.0014042866982859387
2014-05-08,0.0010000292867015576
2014-05-11,0.0007062856617622901
2014-05-12,0.0004955986956019441
2014-05-13,0.00036646109169863886
2014-05-14,0.0002766620141058818
2014-05-15,0.0001763166379512029
2014-05-18,7.287928438128971e-05
2014-05-19,-7.293325765920598e-05
2014-05-20,-0.0003571539025026679
2014-05-21,-0.000701483948000125
2014-05-22,-0.001109294358592505
2014-05-25,-0.0015461490235413144
2014-05-26,-0.001965801098474515
2014-05-27,-0.0023362896153992165
2014-05-28,-0.002691326271453271
2014-05-29,-0.0029170035403845557
2014-06-01,-0.003054577305761229
2014-06-02,-0.0031439909859255085
2014-06-03,-0.003127835369079847
2014-06-04,-0.0029812824579678056
2014-06-05,-0.0026918558797887305
2014-06-08,-0.0023000422861678437
2014-06-09,-0.0018729130027933544
2014-06-10,-0.001404676587413435
2014-06-11,-0.0009600989746883758
2014-06-12,-0.0004945102094802792
2014-06-15,-9.747293021514393e-05
2014-06-16,0.00023177849576862963
2014-06-17,0.0004197543184571719
2014-06-18,0.0005774053795583047
2014-06-19,0.0006794742430038084
2014-06-22,0.0006196054142383647
2014-06-23,0.00048348020322646354
2014-06-24,0.00023394164641916019
2014-06-25,-3.9353548413419814e-05
2014-06-26,-0.00035270556929132456
2014-06-29,-0.000699397362506488
2014-06-30,-0.0010177977113599696
2014-07-01,-0.0012491185093656749
2014-07-02,-0.0014587495675500051
2014-07-03,-0.0018294998454341598
2014-07-06,-0.0022396439220208134
2014-07-07,-0.0025791585671765265
2014-07-08,-0.0028006467985447485
2014-07-09,-0.002949485138376585
2014-07-10,-0.0030954915987166675
2014-07-13,-0.003112726760944431
2014-07-14,-0.0030415875813532022
2014-07-15,-0.002898452207001958
2014-07-16,-0.002738545796397844
2014-07-17,-0.0025605681987349574
2014-07-20,-0.0023309628862147485
2014-07-21,-0.002126520736580053
2014-07-22,-0.001906961819990382
2014-07-23,-0.0016069465668741142
2014-07-24,-0.0012892285484244698
2014-07-27,-0.0009001669981440315
2014-07-28,-0.00048672659294587246
2014-07-29,-4.437956125024585e-05
2014-07-30,0.00037279988097314523
2014-07-31,0.0007082015131521266
2014-08-03,0.001015461067119208
2014-08-04,0.0012973815844672053
2014-08-05,0.00158150201394351
2014-08-06,0.0018533687771938527
2014-08-07,0.0019808251414833397
2014-08-10,0.0020833922038141013
2014-08-11,0.0020746544395327917
2014-08-12,0.0019985194942157983
2014-08-13,0.001927903316906255
